Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DEMREC58,Ian Dury,Lord Upminster,Demon Records,"LP, Album, RE",,2014,8396639,Uncategorized,2016-09-21 18:13:50,,,
DEMREC59,Ian Dury And The Music Students,4.000 Weeks' Holiday,Demon Records,"LP, Album, RE",,2014,8396748,Uncategorized,2016-09-21 18:13:35,,,
DEMREC60,Ian Dury,Apples,Demon Records,"LP, Album, RE",,2014,8396799,Uncategorized,2016-09-21 18:13:16,,,
DEMREC61,Ian Dury,The Bus Driver's Prayer & Other Stories,Demon Records,"LP, Album",,2015,7802272,Uncategorized,2016-09-21 18:13:01,,,
DEMREC62,Ian Dury And The Blockheads,Mr Love Pants,Demon Records,"LP, Album, RE",,2015,7235873,Uncategorized,2016-09-21 18:12:35,,,
4AD0007LP,John Moreland,Big Bad Luv,4AD,"LP, Album, Gat",,2017,10237520,Uncategorized,2017-05-16 18:14:51,,,
4AD0020LP,The National,Sleep Well Beast,4AD,"2xLP, Album, Whi",,2017,10823938,Uncategorized,2017-09-15 13:59:50,,,
4AD0035LPE,The Breeders,All Nerve,4AD,"LP, Album, Ltd, Ora",,2018,11629630,Uncategorized,2018-03-07 19:21:50,,,
4AD0084LP,Pixies,Come On Pilgrim... It's Surfer Rosa,4AD,"LP, MiniAlbum, RE, Gol + LP, Album, RE, Gol + LP, ",,2018,12571941,Uncategorized,2018-09-28 11:59:21,,,
4AD0154LPX,The National,I Am Easy To Find,4AD,"LP, Red + LP, Yel + LP, S/Sided, Etch, Gre + Album",,2019,13632090,Uncategorized,2019-05-17 18:27:54,,,
4AD0342LPE,Belly,Bees,4AD,"2xLP, RSD, Comp, Hon",,2021,19112494,Uncategorized,2021-06-12 06:03:40,,,